Sum of GigaMultsPerSecond,Column Labels,,,,,,,,,
Row Labels,1024,4096,16384,65536,262144,1048576,2097152,4194304,8388608,Grand Total
8,0.038,0.094,0.473,1.45,0.979,4.185,9.347,12.79,20.781,50.137
16,0.023,0.126,0.383,1.611,0.982,3.621,7.825,12.289,20.311,47.171
32,0.024,0.086,0.363,1.483,0.967,5.475,8.794,13.215,22.721,53.128
128,0.023,0.078,0.405,1.611,0.967,3.367,9.309,14.516,21.332,51.608
256,0.024,0.102,0.47,1.56,1.15,5.175,8.493,15.042,21.159,53.175
512,0.022,0.121,0.304,1.606,1.052,4.04,8.127,13.601,20.247,49.12
Grand Total,0.154,0.607,2.398,9.321,6.097,25.863,51.895,81.453,126.551,304.339
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,1024,4096,16384,65536,262144,1048576,2097152,4194304,8388608,
8,0.038,0.094,0.473,1.45,0.979,4.185,9.347,12.79,20.781,
16,0.023,0.126,0.383,1.611,0.982,3.621,7.825,12.289,20.311,
32,0.024,0.086,0.363,1.483,0.967,5.475,8.794,13.215,22.721,
128,0.023,0.078,0.405,1.611,0.967,3.367,9.309,14.516,21.332,
256,0.024,0.102,0.47,1.56,1.15,5.175,8.493,15.042,21.159,
512,0.022,0.121,0.304,1.606,1.052,4.04,8.127,13.601,20.247,
