      64,    8,        128,       1024,      0.024
      64,   16,         64,       1024,      0.023
      64,   32,         32,       1024,      0.020
      64,  128,          8,       1024,      0.027
      64,  256,          4,       1024,      0.021
      64,  512,          2,       1024,      0.015
      64,    8,        512,       4096,      0.108
      64,   16,        256,       4096,      0.107
      64,   32,        128,       4096,      0.104
      64,  128,         32,       4096,      0.070
      64,  256,         16,       4096,      0.094
      64,  512,          8,       4096,      0.107
      64,    8,       2048,      16384,      0.197
      64,   16,       1024,      16384,      0.460
      64,   32,        512,      16384,      0.254
      64,  128,        128,      16384,      0.362
      64,  256,         64,      16384,      0.316
      64,  512,         32,      16384,      0.242
      64,    8,       8192,      65536,      1.439
      64,   16,       4096,      65536,      1.402
      64,   32,       2048,      65536,      1.111
      64,  128,        512,      65536,      1.111
      64,  256,        256,      65536,      2.398
      64,  512,        128,      65536,      1.779
      64,    8,      32768,     262144,      1.385
      64,   16,      16384,     262144,      1.037
      64,   32,       8192,     262144,      1.645
      64,  128,       2048,     262144,      0.840
      64,  256,       1024,     262144,      0.932
      64,  512,        512,     262144,      0.980
      64,    8,     131072,    1048576,      3.585
      64,   16,      65536,    1048576,      3.790
      64,   32,      32768,    1048576,      5.085
      64,  128,       8192,    1048576,      3.767
      64,  256,       4096,    1048576,      3.869
      64,  512,       2048,    1048576,      4.303
      64,    8,     262144,    2097152,     10.559
      64,   16,     131072,    2097152,      6.848
      64,   32,      65536,    2097152,      6.857
      64,  128,      16384,    2097152,      8.470
      64,  256,       8192,    2097152,      7.281
      64,  512,       4096,    2097152,      6.553
      64,    8,     524288,    4194304,     12.530
      64,   16,     262144,    4194304,     14.170
      64,   32,     131072,    4194304,     14.322
      64,  128,      32768,    4194304,     12.260
      64,  256,      16384,    4194304,     16.618
      64,  512,       8192,    4194304,     12.458
      64,    8,    1048576,    8388608,     27.362
      64,   16,     524288,    8388608,     19.297
      64,   32,     262144,    8388608,     20.268
      64,  128,      65536,    8388608,     28.833
      64,  256,      32768,    8388608,     23.895
      64,  512,      16384,    8388608,     18.452
