      64,   32,         32,     1024,      0.023
      64,   64,         16,     1024,      0.020
      64,  128,          8,     1024,      0.014
      64,   32,         64,     2048,      0.036
      64,   64,         32,     2048,      0.028
      64,  128,         16,     2048,      0.031
      64,   32,        128,     4096,      0.055
      64,   64,         64,     4096,      0.063
      64,  128,         32,     4096,      0.096
      64,   32,       1024,    32768,      0.552
      64,   64,        512,    32768,      0.442
      64,  128,        256,    32768,      0.569
      64,   32,       4096,   131072,      0.442
      64,   64,       2048,   131072,      0.542
      64,  128,       1024,   131072,      0.595
      64,   32,      16384,   524288,      2.168
      64,   64,       8192,   524288,      2.606
      64,  128,       4096,   524288,      2.004
      64,   32,      32768,  1048576,      3.666
      64,   64,      16384,  1048576,      3.135
      64,  128,       8192,  1048576,      3.813
      64,   32,      65536,  2097152,      6.784
      64,   64,      32768,  2097152,      7.325
      64,  128,      16384,  2097152,      7.422
      64,   32,     131072,  4194304,     13.118
      64,   64,      65536,  4194304,     15.555
      64,  128,      32768,  4194304,     15.118
      64,   32,     262144,  8388608,     37.455
      64,   64,     131072,  8388608,     23.317
      64,  128,      65536,  8388608,     29.936
